bigbang,boyorgrl,childs,chldidel,class,conarmy,conbiz,conchurh,concong,concourt,condrift,conschls,divorce,earthsun,electron,evolved,finalter,god,grass,gunlaw,helpoth,hlthdays,homosex1,hotcore,id,intecon,intintl,inttech,makefrnd,mntlhlth,obey,othersex,othlang,owngun,popular,racwork,radioact,rank,realinc,realrinc,relpersn,rowngun,satfin,sexeduc,sexornt,socbar,socfrend,socommun,socrel,solarrev,sprtprsn,thnkself,trustsci,viruses,workhard,xmarsex1,year
0,0,3,0,3,1,0,0,0,0,0,0,2,0,0,0,1,6,1,1,3,0,0,0,199,0,0,0,0,0,4,0,1,2,5,3,0,4,63560,30645,3,0,2,0,3,0,0,0,0,0,3,1,0,0,2,0,2018
2,1,3,4,3,0,2,3,4,3,1,3,2,2,1,2,1,6,0,1,0,0,1,1,200,3,2,2,2,0,0,0,2,2,0,3,2,4,119879.41732,5107.5,4,0,1,1,3,7,4,4,2,0,1,0,3,2,0,1,2018
1,1,0,2,3,0,3,3,4,3,1,3,0,1,1,1,1,3,0,1,0,5,4,1,201,2,2,1,2,14,0,0,2,2,0,2,2,5,37455,37455,3,0,2,1,3,4,2,7,2,3,3,0,5,2,0,1,2018
0,2,0,3,3,0,4,3,5,4,1,3,0,2,0,0,1,5,0,1,0,0,4,0,202,1,2,2,2,0,0,0,1,1,0,0,0,1,119879.41732,63560,3,1,1,1,3,5,3,5,2,0,2,0,3,1,0,1,2018
0,2,3,4,2,0,3,5,4,5,2,3,1,1,0,0,1,1,0,0,0,0,4,1,207,2,2,1,2,14,0,0,2,1,0,1,2,6,54480,24970,4,1,2,1,3,2,7,7,5,1,4,0,5,1,0,3,2018
1,1,2,3,2,0,3,3,3,3,1,4,2,2,0,1,1,5,0,1,0,0,4,1,216,1,2,2,2,0,0,0,1,2,0,2,2,5,14755,8512.5,2,0,2,1,3,6,4,6,2,0,3,0,3,1,0,1,2018
0,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,1,6,2,0,2,0,0,0,220,0,0,0,0,3,3,0,1,2,5,3,0,5,17025,17025,2,0,1,0,3,0,0,0,0,0,3,4,0,0,1,0,2018
0,0,2,0,3,2,0,0,0,0,0,0,2,0,0,0,1,6,1,0,1,2,0,0,221,0,0,0,0,10,4,0,2,1,5,2,0,6,63560,37455,2,2,2,0,3,0,0,0,0,0,1,2,0,0,3,0,2018
0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,5,1,0,4,0,0,0,224,0,0,0,0,0,2,1,2,2,5,3,0,1,37455,17025,2,0,1,0,3,0,0,0,0,0,2,1,0,0,3,0,2018
1,2,5,2,2,0,3,4,3,3,1,4,0,1,2,2,3,0,0,0,0,0,1,1,225,3,3,2,2,0,0,0,1,1,0,1,2,6,30645,4086,3,1,2,1,3,7,3,5,2,1,4,0,2,2,0,1,2018
